Listing all files in folder ID: 1XvHukPiinuqxDUthxJRQ0zTNY5ESUupq and saving to ./listed_files.txt
File: z-LLM Model Training, ID: 1iVImHzEPubLryXMg-fv6jepYvG53DK2g, MIME Type: application/vnd.google-apps.folder
File: R241267_WHITING_OLSON_31-31H_INSTALL_3-5-2024.pdf, ID: 1eT4WG2WTp9ud1h_rMB5WNci1EuubiInw, MIME Type: application/pdf
File: R241080 OASIS K2 HOLDINGS 5401 11-31 2B ESP INSTALL 2.23.24.pdf, ID: 1eWeOdgqTfvuTdVIKhkZDAtFiad3q8FfR, MIME Type: application/pdf
File: R240350 OASIS PATROLEUM CAMP SLAGLE 5101 43-12 6B ESP INSTALL 02-02-2024.pdf, ID: 1eXtZ8IGZTSJA_06NAAG-o8Lm4GwlqDuf, MIME Type: application/pdf
File: R240098_OASIS_K2 HOLDINGS_5401-11-31-3B_INSTALL_3-14-2024.pdf, ID: 1ecbt7HsvzrsSyN_Mat1c3ra7dU_dfuWW, MIME Type: application/pdf
File: R234534_Whiting_Ryder Olson 31-1HR_12-05-23_Install.pdf, ID: 1dXxk-48HOXLnhb5vEfa75DrEDXEyRdVI, MIME Type: application/pdf
File: R234168_Whiting_Scott Olson_31-1H_Install_20231115.pdf, ID: 1d_xCHjYsi5VD9YLbjdRpShZFF0ABn2Vk, MIME Type: application/pdf
File: R230782_WHITING_NESHEIM 11-24HU_INSTALL_1-26-23.pdf, ID: 1de2ar8neVKvs02VGEcjnR5ZUHsqXqtzM, MIME Type: application/pdf
File: R230760 Whiting LBJ 14-14HU.pdf, ID: 1dhKE8DJm25Wo7bG2aGma-t-BTnPlRnyz, MIME Type: application/pdf
File: R24_Oasis_Slagle 5101 43-12 5B_Install_01-27-24.pdf, ID: 1dkm6dy_Lhh-QqgI2F7YaJlVWgNfSjuTj, MIME Type: application/pdf
File: Oasis Petroleum Blanchet Federal 5693 14-21 5B ESP Install 4-8-2024.pdf, ID: 1dpogTZ0urXUgvfTUea6JSNYUxv7ED9aR, MIME Type: application/pdf
File: Oasis Olson 31-31-3H install 4-13-24.pdf, ID: 1dsPR37tHtQAFeeKOFRC2C6QdpRt9UljG, MIME Type: application/pdf
File: Copy of Whiting Olson 31-31-2H Install.pdf, ID: 1dyhk1ojZRBgNdDtUceWpt0CsF7Ap2Gz2, MIME Type: application/pdf
File: Chord Olson 31-31-4h install.pdf, ID: 1eFeQ4OwFNwzmiFQcnfi0ad9Qc7G6bxaT, MIME Type: application/pdf
File: Chord ANDREWS FEDERAL 5304 12-24 4BX Install Report.pdf, ID: 1i92lrwJVMRPYYb8maRbruyOz4zaH4kzZ, MIME Type: application/pdf
File: R243180 CHORD PEREGRINE 5401 42-24 3B ESP INSTALL REPORT 8-18-24.pdf, ID: 1hrO9lPlUTrVNBBitPz4lwWxT7yKKNdbS, MIME Type: application/pdf
File: R243044 WHITING_SANISH E FEDERAL 5292 31-6 5B_INSTALL_8-22-2024.pdf, ID: 1hrlCPmEfCicC6iFUwa8KO5y8pe7JygR_, MIME Type: application/pdf
File: R242968 OASIS PETROLEUM SLAGLE 1501 43-12 5B INSTALL ESP 7-31-24.pdf, ID: 1htnH_QZ4WBp6y-2J_8Jj7zE-DzSsTbDI, MIME Type: application/pdf
File: R242170 Whiting Wood Federal 5498 12-25-2BX Install (2).pdf, ID: 1iMGwFL2UmMSpnwUP0OcjPa_o3o1rLrut, MIME Type: application/pdf
File: R242169 OASIS INSTALL SORKNESS STATE FEDERAL 34X-36D.pdf, ID: 1hxW9JHG-W77C-ikE1cUASyK_WUaYWYqB, MIME Type: application/pdf
File: R242049_Whiting S-Bar Laurel 5393 34-1 4B_Install.pdf, ID: 1hzeRS2nUxLDRjHXdI-RruNGA7Zq4Kxad, MIME Type: application/pdf
File: R242045_WHITING_SANISH BAY E FEDERAL_5292 31-6 4B_INSTALL_7-31-2024.pdf, ID: 1i20J8cs9CKmg4RV_NDMhEXLLzEUz8YRZ, MIME Type: application/pdf
File: R243192 Oasis Harrier 5401 44-23 7B install 8-9-24.pdf, ID: 1hpM7Q18gLIEQOBLKnqTG4TEm6Zv2wYNZ, MIME Type: application/pdf
File: SBE12-3 2BX.xlsx, ID: 1hkdJo1bQdCYfz6fuDuyqb5XEm2HKLKaE, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: SB 9BX.xlsx, ID: 1holpz5nvt0LJ6p2PYNHdFCGEI0cfL_02, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: SBE 8B.xlsx, ID: 1hlAifr524r_MPAGSzKDpIKmxlz3jWWNU, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: new survey.xlsx, ID: 1gqoG13AA-FnEM4Z3-WQZZJfUbh2TlFeu, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Chord FOLEY FEDERAL 5301 12-13 2B Installation Report August 2023.pdf, ID: 1hiHFi-zfj0dl3ydp0OM7OfbPATHaPqsB, MIME Type: application/pdf
File: Chord  Foley Federal 5301 12-13 3B Installation Report July 2024.pdf, ID: 1hjCyMNe2R47XgnXFEDT2L6wS6_3jRSte, MIME Type: application/pdf
File: George-Federal-5304-12-24-2BX.xlsx, ID: 1gzsXMTtB6o57DIP9AVxmPLoxfwKHvmkB, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: R242170 Whiting Wood Federal 5498 12-25-2BX Install.pdf, ID: 1goW4qkUhdee_ZfnYsnPQH9ZcJsiXokHR, MIME Type: application/pdf
File: OASIS_THUNDERHILL FEDERAL_5302 33-3-2B_INSTALL_7-12-2024.pdf, ID: 1gpiRpi4DPBK-FWptzE6ZdcWNOLaSgwpE, MIME Type: application/pdf
File: ESP Install Report Thunderhill Federal 5302 33-3 3B.pdf, ID: 1gP-LGRbYQXiidr7pG1_utDC6Oqhq1gG0, MIME Type: application/pdf
File: ESP Install Report Thunderhill Federal 5302 33-3 4B.pdf, ID: 1g8QIv5WAKruq1174LETpPVntgxld8zpv, MIME Type: application/pdf
File: ESP Install Report Thunderhill Federal 5302 33-3 5B.pdf, ID: 1g0WnSYTlRAl_mk5xb8t8BuYeJRmUY_L9, MIME Type: application/pdf
File: ESP Install Report George Federal 5304 12-24 4B.pdf, ID: 1h3__iem5H82MDjeQaqz_0dOZ9tixtPLg, MIME Type: application/pdf
File: ESP Install Report George Federal 5304 12-24 3B.pdf, ID: 1hPuIpAv9PhvC006xYkEwXGc1joC3jHNu, MIME Type: application/pdf
File: ESP Install Report George Federal 5304 12-24 2BX.pdf, ID: 1hagyFJGFF1oAlGNOxuy-t-278PM2JWLK, MIME Type: application/pdf
File: ESP Install Report Andrews Federal 5304 12-24 3B.pdf, ID: 1hbT4BrCJVTODUJMTsO43enPzP0dUsEEB, MIME Type: application/pdf
File: ESP Install Report Andrews Federal 5304 12-24 2B.pdf, ID: 1hfKS7P0SktXkqUP4d66YE87zR22LMwpo, MIME Type: application/pdf
File: R242243 Oasis Pocono 5302 33-4 5B install 4-16-24.pdf, ID: 1fpIoDaTKMtbjQ5UpzIYig4WIvqvP0YZN, MIME Type: application/pdf
File: R242561 OASIS POCONO 5302-33-4-3B.pdf, ID: 1fozBa9OSFeATBsXFetxBSZoLuMUObacf, MIME Type: application/pdf
File: Whiting Pocono 5302 33-4 2B inst.pdf, ID: 1fXjckc5z_hgMeitFOcHvexYnCPgTWYz0, MIME Type: application/pdf
File: R242157 Whiting Sanish Bay Federal 5292 22-7 6B Install.pdf, ID: 1fzpNk_HfxCB38n7ZNPCANN6FO7yER5iM, MIME Type: application/pdf
File: ESP Install Report Olson 31-31H.pdf, ID: 1gPBUUIUpW-WMcjswOTfhV3jQxkxVVBzJ, MIME Type: application/pdf
File: ESP Install Report Olson 31-31-3H.pdf, ID: 1gY8x00Tc9-CMEHNhif6GpqDrQh0VQncz, MIME Type: application/pdf
File: ESP Install Report Pocono 5302 33-4 3B (2).pdf, ID: 1gZKfTqNbttxjoY5zt7NakTpCoYN3FFQP, MIME Type: application/pdf
File: WHITING BORSETH 31-15-4H INST.pdf, ID: 1faYUWKReqlJBJ2Xo8tCDdvII4DQxxR9c, MIME Type: application/pdf
File: Whitting DE YK Federal 12-33H 5-3-24 install.pdf, ID: 1fVUZeytHRP3GDdZpQ0fqKxJi9U35vA34, MIME Type: application/pdf
File: ESP Install Report Archerfield 5602 43-16 4B.pdf, ID: 1fOpOXdpLmzSVLnMh9A_UX4jbQdG9kHAk, MIME Type: application/pdf
File: ESP Install Report Archerfield 5602 43-16 3B.pdf, ID: 1fTdMItx8llllr1jurzZqNm6BBch--aFW, MIME Type: application/pdf
File: ESP Install Report LBJ 24-14HU.pdf, ID: 1exTe-jJNxM-t0V5di2JLfPYp1NR7n_ZG, MIME Type: application/pdf
File: ESP Install Report Safely Federal 32-7-3H.pdf, ID: 1euwZXV_ob7qxGPGOR-yIqi4aL7chxdes, MIME Type: application/pdf
File: ESP Install Report Satterthwaite 14-35TFHU.pdf, ID: 1eprGyGE7-q9U2N_Ljz5v7-_8rdvimk6_, MIME Type: application/pdf
File: Archerfield 5602 43-16 4B.xls, ID: 1bpMA0EQHeaej-jYgaR9-nOEVhUEF_2pm, MIME Type: application/vnd.ms-excel
File: Archerfield 5602 43-16 3B.xls, ID: 1bwqakmf6XpyRjpE8W8qY4DcF-aXAeGiN, MIME Type: application/vnd.ms-excel
File: Chord Energy_Archerfield 5602 43-16 4B_Run#1 ESP Install_ecd_Schematics_Case.pdf, ID: 1bfC2LdtQVrLb7iIpBSA-8gxpFcGCT7ys, MIME Type: application/pdf
File: Chord Energy_Archerfield 5602 43-16 3B_Run#1 ESP Install_ecd_Schematics_Case.pdf, ID: 1bj6lXpH9LigzdCzwEmJmhozJ08M7vSX7, MIME Type: application/pdf
File: LACEY 13-10HU - Install Ticket.pdf, ID: 1fNHG8SukBgzS874gLVj40cv8QPgIP9An, MIME Type: application/pdf
File: WILSON FEDERAL 31-15-2H - Install Ticket.pdf, ID: 1f04XwIvNTERXITAkmI1pZ_GXrB9oU4B2, MIME Type: application/pdf
File: Littlefield 11-21-2HU - Install Ticket.pdf, ID: 1f4LAqfKUrV6cU45_6WL--ML1blmyp7mV, MIME Type: application/pdf
File: LINDA FEDERAL 5301 44-12 6B - Install Ticket.pdf, ID: 1fKpqU1Bu_zMAGO7U4dITKoSnjrxUxTDE, MIME Type: application/pdf
File: ESP Install Report Snow Shoe Federal 31-30-4H.pdf, ID: 1d39M38A_5oWXT1JSIQIM0EzmrcEbC_Z6, MIME Type: application/pdf
File: ESP Install Report Snow Shoe Federal 31-30-3H.pdf, ID: 1dCqWyVz5owjSx2UmK5vWLug9W4YpLXND, MIME Type: application/pdf
File: Snowshoe 4H _ Apri-12-2024_ Run Report.xlsx, ID: 1d0erGHf5AFob0xrzo20rIyriHcxXEkc1, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: Snow Shoe Federal 31-30-3H Run Report May-28-2023.xlsx, ID: 1d1qyMSPJvSiFdPRzdj6VRTjdRZqjia80, MIME Type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
File: ESP Install Report Littlefield 11-21H.pdf, ID: 1dXpC4VnmCJbO2YYo9O1a4OCsqAV13cXq, MIME Type: application/pdf
File: ESP Install Report Slagle 5101 43-12 6B.pdf, ID: 1dG52xOux_c4w9cosfNSKRYoL1MajKcR1, MIME Type: application/pdf
File: ESP Install Report Bigfoot 23-11-6TFH.pdf, ID: 1ct5RK4qYtrQDs-zfoOkgClXVQrk--kGF, MIME Type: application/pdf
File: ESP Install Report Richard Olson 31-1HR.pdf, ID: 1dOcXc64qwoLn1QTZEl-97nHBxzBUBMwk, MIME Type: application/pdf
File: ESP Install Report Mariah Olson 31-1HR2.pdf, ID: 1dQ6iHLcxzz7Hiyz_Rvx9qBE3cgIyFPL2, MIME Type: application/pdf
File: ESP Install Report Littlefield 11-21-2TFHU.pdf, ID: 1c5ccttatJVeVUoXfyvRRJGHQ7xta8kiB, MIME Type: application/pdf
File: ESP Install Report Bigfoot LE 23-11-9H.pdf, ID: 1cYV1Hs-WXwGK_cN6G7kV_J9xW2XwfbMO, MIME Type: application/pdf
File: ESP Install Report Bigfoot 42-26TFHU.pdf, ID: 1cla5aeywl1eHye18z9c5cGnNvUkvqyLh, MIME Type: application/pdf
File: ESP Install Report Snow Shoe Federal 31-30-2H.pdf, ID: 1dD3EhC6vu5pwFqmIk_dzdZIwd7MFDBjN, MIME Type: application/pdf
File: ESP Install Report Safely Federal 32-7H.pdf, ID: 1dKIdxO4bUsLrJJkwRl9CaPscrdqNKa7D, MIME Type: application/pdf
File: ESP Install Report Safely Federal 32-7-2H.pdf, ID: 1dLSWYk6ok8T8vu_Hy2g0rgnt-_O1R-I6, MIME Type: application/pdf
File: ESP Install Report Marlys Olson 31-1H.pdf, ID: 1dPDCU94ghtbRc9TY5cfskgco-gmoWkkK, MIME Type: application/pdf
File: ESP Install Report Lacey 12-1-2H.pdf, ID: 1cLqvt9rsoTY58buLxnn-7VfuKwxvIxWC, MIME Type: application/pdf
File: ESP Install Report Dahl W Federal 5301 13-15 5B.pdf, ID: 1cQ-NI79A9ukYsk4bps-Rx4GXzbcNyKrF, MIME Type: application/pdf
File: ESP Install Report Dahl W Federal 5301 13-15 4B.pdf, ID: 1cQvzzDFVnywGBOElELTKaf9y-sC3LPMw, MIME Type: application/pdf
File: ESP Install Report Dahl W Federal 5301 13-15 3B.pdf, ID: 1cR2nMU5VnPde4tUG54x1vdHzVdtNh03f, MIME Type: application/pdf
File: ESP Install Report Dahl W Federal 5301 13-15 2B.pdf, ID: 1cRlk4ah6OlT6MBUQtNWGWqgnnPAfP2Mz, MIME Type: application/pdf
File: ESP Install Report Bigfoot LS 23-22-8H.pdf, ID: 1cXK8Qy9q7QwBLXp8zpJLtwQ0t1ApF4s0, MIME Type: application/pdf
File: ESP Install Report Bigfoot 42-26-2TFHU.pdf, ID: 1corurlZVtXAfZ005NL3ONUmXjhtrjzXH, MIME Type: application/pdf
File: ESP Install Report Bigfoot 23-7H.pdf, ID: 1cvsa1vo26s6N4Pjh9deOCDkMEXHM7M3l, MIME Type: application/pdf
File: ESP Install Report Archerfield 5602 43-16 5BX.pdf, ID: 1bdlPEIKVCCu8ORO1fBS223ys41VIvgzH, MIME Type: application/pdf
File: ESP Install Report Archerfield 5602 43-16 2BX.pdf, ID: 1bdssMXUVgyLzx0E7CzcEAFi0BhqjLG8E, MIME Type: application/pdf
File: Archerfield 5602 43-16 5BX rev01.xls, ID: 1bp8DN9sGpllngwdjKENBcEeQeaguM4WG, MIME Type: application/vnd.ms-excel
File: Archerfield 5602 43-16 2BX.xls, ID: 1c5NUSaJfKJkkUaUtvoz8EtzYoI0mghWL, MIME Type: application/vnd.ms-excel
File: Evans 5B Data Match - Case 2 - Evans 5B Data Match.pdf, ID: 1bcrrSKOnXE3-ICPRndB2PN01KiJwLN5z, MIME Type: application/pdf
File: R241262_OASIS EVANS FEDERAL 5693 12-22 5B_INSTALL_2-27-2024.pdf, ID: 1bZgvw0eY89EUoiFjWYvHrlQDiZ-V0IjT, MIME Type: application/pdf
File: R241263_OASIS EVANS FEDERAL 5693 12-22 5B_STARTUP_2-27-2024.pdf, ID: 1bYmdex3Xz7Y234Cpaan8LaBftlvAIS63, MIME Type: application/pdf
File: ESP Install Report MHA Moose 5090 43-7 5B.pdf, ID: 1bGgBVgVEnCTYEuDAeX4838vtGCp9lfdB, MIME Type: application/pdf
File: ESP Install Report MHA Moose 5090 43-7 4B.pdf, ID: 1bLlOiiCxm4eI8QZ6jKXyqTdmYjWNUmMT, MIME Type: application/pdf
File: ESP Install Report MHA Moose 5090 43-7 3B.pdf, ID: 1bNW0af0s5QqjGP9SwQOcy6tJi4uqsX7F, MIME Type: application/pdf
File: ESP Install Report MHA Moose 5090 43-7 2B.pdf, ID: 1bXqfAttYh0bCADRUjvwszPuHxj_RrL5o, MIME Type: application/pdf
File: ESP Install Report MHA 6-29-30H-150-92.pdf, ID: 1aI8xHVhTkmfsv0RCJ63vq97tFNce6mFV, MIME Type: application/pdf
File: ESP Install Report Streamsong 5502 11-17 3B.pdf, ID: 1bC76vpydnFiDXNP-SO5J4qoAQC2LwCEI, MIME Type: application/pdf
File: ESP Install Report Streamsong 5502 11-17 2B.pdf, ID: 1bFOkKVbrRlU9sioeLaIUiB6Fo38b2up7, MIME Type: application/pdf
File: ESP Install Report Pocono 5302 33-4 5B.pdf, ID: 1bG68wl5vRMTB6LIfw5xm3g6McMy4XnjS, MIME Type: application/pdf
File: ESP Install Report Pocono 5302 33-4 4B.pdf, ID: 1ajYaA780BFLoS-ZDY0Yyw-xLWzO2SPdy, MIME Type: application/pdf
File: ESP Install Report Pocono 5302 33-4 3B.pdf, ID: 1aoC9eGQfMHPlUsjZ2vyh-PtsOX5tmSNZ, MIME Type: application/pdf
File: ESP Install Report Pocono 5302 33-4 2B.pdf, ID: 1aot-bMBn2EfscZtPOM1delRD25T7PI6l, MIME Type: application/pdf
File: ESP Install Report Maridoe 5502 11-17 3B.pdf, ID: 1apWgEMgz6GMwKp0xgLCRApiTnAyHZFdw, MIME Type: application/pdf
